HASHID,Version,Storage,Wells,Drains
350ff23337e5a3f662a140b690e4ce77,TRBAR96,8254677504,2410978560,20421048320
350ff23337e5a3f662a140b690e4ce77,TRMAC96,11542359040,2410987008,32848533504
350ff23337e5a3f662a140b690e4ce77,TRNAT96,11499784192,2410987008,31819087872
350ff23337e5a3f662a140b690e4ce77,TRold96,8877018112,2355031296,20292216832
3743e0b3c982d40cb848f7f83bd2720a,TRBAR96,8243720192,2501459968,20324388864
3743e0b3c982d40cb848f7f83bd2720a,TRMAC96,11542419456,2565622784,32705630208
3743e0b3c982d40cb848f7f83bd2720a,TRNAT96,11499904000,2565622784,31674712064
3743e0b3c982d40cb848f7f83bd2720a,TRold96,8878891008,2495307008,20157646848
380524d08598aebad035effe259df987,TRBAR96,8252554752,2121313408,20685533184
380524d08598aebad035effe259df987,TRMAC96,11542498304,2121318528,33123166208
380524d08598aebad035effe259df987,TRNAT96,11499425792,2121318528,32091557888
380524d08598aebad035effe259df987,TRold96,8921156608,2118032256,20542138368
3c693404c9e3d01fbe4c2584f6536b10,TRBAR96,8252550144,2124623744,20682309632
3c693404c9e3d01fbe4c2584f6536b10,TRMAC96,11542498304,2124631296,33119875072
3c693404c9e3d01fbe4c2584f6536b10,TRNAT96,11499491328,2124631296,32088096768
3c693404c9e3d01fbe4c2584f6536b10,TRold96,8921154560,2121342720,20538867712
3d2297593203f5f7db2e48b631292c91,TRBAR96,8254568448,2386038784,20444774400
3d2297593203f5f7db2e48b631292c91,TRMAC96,11541963776,2386045184,32874010624
3d2297593203f5f7db2e48b631292c91,TRNAT96,11499587584,2386045184,31842949120
3d2297593203f5f7db2e48b631292c91,TRold96,8877940736,2333288448,20311162880
3ddc5e214c826378868ed123c4cd22b0,TRBAR96,8252549120,2121278080,20685613056
3ddc5e214c826378868ed123c4cd22b0,TRMAC96,11542497280,2121285376,33123219456
3ddc5e214c826378868ed123c4cd22b0,TRNAT96,11499491328,2121285376,32091410432
3ddc5e214c826378868ed123c4cd22b0,TRold96,8920858624,2117967232,20542640128
3e987b34070ce687c5fc1af8fe665e1a,TRBAR96,8252546048,2118406400,20688320512
3e987b34070ce687c5fc1af8fe665e1a,TRMAC96,11542492160,2118411520,33125967872
3e987b34070ce687c5fc1af8fe665e1a,TRNAT96,11499429888,2118411520,32094384128
3e987b34070ce687c5fc1af8fe665e1a,TRold96,8921146368,2115124352,20544931840
3f5031588bb3f91cf8526d4696b45203,TRBAR96,8254001152,2136320256,20673581056
3f5031588bb3f91cf8526d4696b45203,TRMAC96,11542797312,2136326656,33109161984
3f5031588bb3f91cf8526d4696b45203,TRNAT96,11500058624,2136326656,32075769856
3f5031588bb3f91cf8526d4696b45203,TRold96,8875539456,2080369024,20543039488
408450084b3c2dfeaaea6a7929e57ae7,TRBAR96,8252549632,2121612288,20685285376
408450084b3c2dfeaaea6a7929e57ae7,TRMAC96,11542498304,2121618176,33122891776
408450084b3c2dfeaaea6a7929e57ae7,TRNAT96,11499490304,2121618176,32091105280
408450084b3c2dfeaaea6a7929e57ae7,TRold96,8921157632,2118335104,20541859840
437ce51a0121a30e752d309a4bb6c981,TRBAR96,8256367104,2254078208,20564193280
437ce51a0121a30e752d309a4bb6c981,TRMAC96,11542196224,2318168064,32939622400
437ce51a0121a30e752d309a4bb6c981,TRNAT96,11500184576,2318168064,31907741696
437ce51a0121a30e752d309a4bb6c981,TRold96,8876523520,2247999232,20392261632
46cb5e63d5dad6648a98f4684b5fac4f,TRBAR96,8255413760,2322876416,20495882240
46cb5e63d5dad6648a98f4684b5fac4f,TRMAC96,11543054336,2386965760,32869199872
46cb5e63d5dad6648a98f4684b5fac4f,TRNAT96,11500851200,2386965760,31839451136
46cb5e63d5dad6648a98f4684b5fac4f,TRold96,8876738560,2316831744,20323178496
47eaaf3c60e1c0f050c3b49aa2de4b29,TRBAR96,8255375872,2350024704,20470290432
47eaaf3c60e1c0f050c3b49aa2de4b29,TRMAC96,11542694912,2414116352,32843241472
47eaaf3c60e1c0f050c3b49aa2de4b29,TRNAT96,11500684288,2414116352,31813152768
47eaaf3c60e1c0f050c3b49aa2de4b29,TRold96,8879269888,2343901952,20299403264
49829bce3327ff78c8e12039d5143070,TRBAR96,8255216128,2337978880,20481740800
49829bce3327ff78c8e12039d5143070,TRMAC96,11543181312,2402068224,32854419456
49829bce3327ff78c8e12039d5143070,TRNAT96,11500756992,2402068224,31825313792
49829bce3327ff78c8e12039d5143070,TRold96,8876621824,2332138752,20308310016
4a8b4421250d280202373fb30350a953,TRBAR96,8252683264,2130267392,20677697536
4a8b4421250d280202373fb30350a953,TRMAC96,11542483968,2130273280,33115080704
4a8b4421250d280202373fb30350a953,TRNAT96,11499386880,2130273280,32083204096
4a8b4421250d280202373fb30350a953,TRold96,8924081152,2126467584,20531691520
4b1b20873120193635ecb78652d46465,TRBAR96,8255300608,2319448832,20498608128
4b1b20873120193635ecb78652d46465,TRMAC96,11543308288,2383537152,32873857024
4b1b20873120193635ecb78652d46465,TRNAT96,11500549120,2383537152,31843135488
4b1b20873120193635ecb78652d46465,TRold96,8926224384,2313377792,20353662976
4de8ce9aba7c70f78e706342eb551ec4,TRBAR96,8254388736,2316671744,20507559936
4de8ce9aba7c70f78e706342eb551ec4,TRMAC96,11542696960,2316678912,32938108928
4de8ce9aba7c70f78e706342eb551ec4,TRNAT96,11500522496,2316678912,31907024896
4de8ce9aba7c70f78e706342eb551ec4,TRold96,8876774400,2260887040,20378224640
5263bc508d1e155c865aa9f86469292c,TRBAR96,8254013440,2139227648,20670756864
5263bc508d1e155c865aa9f86469292c,TRMAC96,11542794240,2139234944,33106345984
5263bc508d1e155c865aa9f86469292c,TRNAT96,11500064768,2139234944,32072972288
5263bc508d1e155c865aa9f86469292c,TRold96,8921779200,2083134848,20571701248
55594a43cfeee30634fbe8008bdff1bf,TRBAR96,8254007296,2137291136,20672669696
55594a43cfeee30634fbe8008bdff1bf,TRMAC96,11542795264,2137297280,33108256768
55594a43cfeee30634fbe8008bdff1bf,TRNAT96,11500059648,2137297280,32074825728
55594a43cfeee30634fbe8008bdff1bf,TRold96,8873614336,2081454208,20545204224
612300dcb7ce316b3ea3165170c01e3f,TRBAR96,8252555264,2125292544,20681611264
612300dcb7ce316b3ea3165170c01e3f,TRMAC96,11542500352,2125298176,33119209472
612300dcb7ce316b3ea3165170c01e3f,TRNAT96,11499494400,2125298176,32087451648
612300dcb7ce316b3ea3165170c01e3f,TRold96,8921155584,2122010368,20538224640
61d9ec00604746b003e49d63660079e5,TRBAR96,8231678976,2773732608,20065140736
61d9ec00604746b003e49d63660079e5,TRMAC96,11541164032,2837907456,32451934208
61d9ec00604746b003e49d63660079e5,TRNAT96,11498687488,2837907456,31422724096
61d9ec00604746b003e49d63660079e5,TRold96,8832571392,2767115008,19829311488
62d91615763ed95fb16d35dae98ca700,TRBAR96,8252578816,2114000384,20692621312
62d91615763ed95fb16d35dae98ca700,TRMAC96,11542496256,2114006272,33130090496
62d91615763ed95fb16d35dae98ca700,TRNAT96,11499442176,2114006272,32098617344
62d91615763ed95fb16d35dae98ca700,TRold96,8921387008,2110720896,20548403200
6324894be8712a460a444ea82e27cf38,TRBAR96,8252534784,2116466688,20690219008
6324894be8712a460a444ea82e27cf38,TRMAC96,11542495232,2116473088,33127843840
6324894be8712a460a444ea82e27cf38,TRNAT96,11499433984,2116473088,32096276480
6324894be8712a460a444ea82e27cf38,TRold96,8920909824,2113158656,20547104768
6584600377d87c111938de8acb78a22c,TRBAR96,8252549120,2122615680,20684308480
6584600377d87c111938de8acb78a22c,TRMAC96,11542499328,2122622336,33121865728
6584600377d87c111938de8acb78a22c,TRNAT96,11499492352,2122622336,32090107904
6584600377d87c111938de8acb78a22c,TRold96,8921156608,2119335552,20540839936
698139f2c0e7f078d15f85034dbe233a,TRBAR96,8255156224,2295661568,20521164800
698139f2c0e7f078d15f85034dbe233a,TRMAC96,11543440384,2356306944,32899252224
698139f2c0e7f078d15f85034dbe233a,TRNAT96,11500497920,2356306944,31868798976
698139f2c0e7f078d15f85034dbe233a,TRold96,8876345344,2289763072,20349313024
6bb5f42ea18a44874ff18b68b6d3400e,TRBAR96,8254470656,2320110848,20504664064
6bb5f42ea18a44874ff18b68b6d3400e,TRMAC96,11542403072,2320116480,32935710720
6bb5f42ea18a44874ff18b68b6d3400e,TRNAT96,11500170240,2320116480,31904681984
6bb5f42ea18a44874ff18b68b6d3400e,TRold96,8880431104,2263985664,20373997568
6d6c5bf1fd9529e99982a8117506baa5,TRBAR96,8252287488,2116243840,20689180672
6d6c5bf1fd9529e99982a8117506baa5,TRMAC96,11542602752,2116251136,33127331840
6d6c5bf1fd9529e99982a8117506baa5,TRNAT96,11499829248,2116251136,32095111168
